"Glottocode","Name","Macroarea","Latitude","Longitude","ISO639P3code","Level","Family_ID","Language_ID","Is_Isolate","Family_Name","Isolates_Balanced_Sample","Isolates_Sample","American_Sample","Worldwide_Sample","North_American_Split_Sample","South_American_Split_Sample","North_American_Universal_Sample","South_American_Universal_Sample","North_America_25_SALSA_Sample","Noun_Poss_Sample"
"sali1298","Sáliba","South America",5.30115,-69.3843,"slc","language","sali1297","","false","Saliban","1","1","1",,,"1",,,,
"olut1240","Oluta Popoluca","North America",17.8937,-94.8863,"plo","language","mixe1284","","false","Mixe-Zoque",,,"1",,"1","1",,,,
"nuuc1236","Nuu-chah-nulth","North America",49.67,-126.67,"nuk","language","waka1280","","false","Wakashan","1","1","1",,"1",,,,,"1"
"zapa1253","Záparo","South America",-1.99871,-76.364,"zro","language","zapa1251","","false","Zaparoan",,"1","1",,,"1",,"1",,
"ainu1240","Hokkaido Ainu","Eurasia",43.633654,142.46167,"ain","language","ainu1252","","false","Ainu","1","1","1",,,,,,,"1"
"sand1278","San Dionisio del Mar Huave","North America",16.3514,-94.7001,"hve","language","huav1256","","false","Huavean",,"1","1",,"1","1",,,,"1"
"boro1282","Bororo","South America",-16.6029,-55.2004,"bor","language","boro1281","","false","Bororoan","1","1","1",,,"1",,,,"1"
"koyr1242","Koyraboro Senni Songhai","Africa",16.9634,-0.55187,"ses","language","song1307","","false","Songhay","1","1",,"1",,,,,,"1"
"waim1253","Waimiri-Atroari","South America",-0.61832,-60.4259,"atr","language","cari1283","","false","Cariban",,,"1",,,"1",,"1",,
"shas1239","Shasta","North America",41.7587,-122.738,"sht","language","shas1238","","false","Shastan",,"1","1",,"1",,"1",,,
"xinc1242","Xinca-Chiquimulilla","North America",14.083301,-90.380259,"","language","xinc1237","","false","Xincan","1","1","1",,"1","1",,,"1",
"huas1242","Huastec","North America",21.6153,-98.5028,"hus","language","maya1287","","false","Mayan",,,"1",,"1","1",,,,
"miri1266","Miriwung","Australia",-16.3596,128.889,"mep","language","jarr1235","","false","Jarrakan",,,,"1",,,,,,"1"
"qawa1238","Qawasqar","South America",-49.303195,-74.707536,"alc","language","kawe1237","","false","Kawesqar","1","1","1",,,"1",,,,
"jaqa1244","Jaqaru","South America",-12.741939,-75.809231,"jqr","language","ayma1253","","false","Aymaran",,,"1",,,"1",,,,
"sout2996","Southern Aymara","South America",-17.1417,-70.3442,"ayc","language","ayma1253","","false","Aymaran",,"1","1",,,"1",,,,
"tomm1242","Tommo So Dogon","Africa",14.756,-3.28,"dto","language","dogo1299","","false","Dogon","1","1",,"1",,,,,,"1"
"akab1249","Akabea","Eurasia",12.3782,92.7818,"abj","language","grea1241","","false","Great Andamanese","1","1",,"1",,,,,,"1"
"hopi1249","Hopi","North America",35.7653,-110.535,"hop","language","utoa1244","","false","Uto-Aztecan",,,"1",,"1",,,,"1",
"chin1286","Clatsop-Shoalwater Chinook","North America",45.1729,-119.166,"chh","language","chin1490","","false","Chinookan","1","1","1",,"1",,"1",,,"1"
"urni1239","Urningangg","Australia",-13.4766,133.023,"urc","language","giim1238","","false","Giimbiyu","1","1",,"1",,,,,,"1"
"aleu1260","Aleut","North America",52.1228,-174.29,"ale","language","eski1264","","false","Eskimo-Aleut",,,"1",,"1",,,,,
"pali1279","Palikúr","South America",3.63993,-51.6246,"plu","language","araw1281","","false","Arawakan",,,"1",,,"1",,,,
"siks1238","Siksika","North America",49.0669,-113.109,"bla","language","algi1248","","false","Algic",,,"1",,"1",,,,"1",
"djam1255","Jaminjung-Ngaliwurru","Australia",-15.0558,130.06,"djd","language","mirn1241","","false","Mirndi","1","1",,"1",,,,,,"1"
"wich1260","Wichita","North America",35.0665,-98.1831,"wic","language","cadd1255","","false","Caddoan",,,"1",,"1",,,,,"1"
"roto1249","Rotokas","Papunesia",-5.94339,155.154,"roo","language","nort2933","","false","North Bougainville","1","1",,"1",,,,,,
"niva1238","Nivaclé","South America",-22.8557,-61.7606,"cag","language","mata1289","","false","Matacoan",,,"1",,,"1",,,,
"cata1286","Catawba","North America",34.9685,-80.8857,"chc","language","siou1252","","false","Siouan",,,"1",,"1",,,,,
"juho1239","South-Eastern Ju","Africa",-19.688,20.7673,"ktz","language","kxaa1236","","false","Kxa","1","1",,"1",,,,,,"1"
"kett1243","Ket","Eurasia",63.7551,87.5466,"ket","language","yeni1252","","false","Yeniseian","1","1","1",,,,,,,"1"
"awac1239","Awa-Cuaiquer","South America",1.21652,-78.3401,"kwi","language","barb1265","","false","Barbacoan","1","1","1",,,"1",,,,"1"
"eyak1241","Eyak","North America",60.4232,-144.762,"eya","language","atha1245","","false","Athabaskan-Eyak-Tlingit",,,"1",,"1",,,,,
"sout2750","Southern Yukaghir","Eurasia",64.218,154.375,"yux","language","yuka1259","","false","Yukaghir","1","1","1",,,,,,,"1"
"tehu1242","Tehuelche","South America",-47.5796,-68.3235,"teh","language","chon1288","","false","Chonan","1","1","1",,,"1",,,,
"cavi1250","Cavineña","South America",-13.3544,-66.6277,"cav","language","pano1259","","false","Pano-Tacanan",,,"1",,,"1",,,,"1"
"naka1260","Nakara","Australia",-12.07653,134.32729,"nck","language","mani1293","","false","Maningrida","1","1",,"1",,,,,,
"yecu1235","Yecuatla Totonac","North America",20.1765,-96.8741,"tlc","language","toto1251","","false","Totonacan",,,"1",,"1","1",,,,
"hueh1236","Huehuetla Tepehua","North America",20.6189,-97.9347,"tee","language","toto1251","","false","Totonacan",,"1","1",,"1","1",,,,
"yima1243","Yimas","Papunesia",-4.71731,143.572,"yee","language","lowe1423","","false","Lower Sepik","1","1",,"1",,,,,,"1"
"sana1298","Sanapaná","South America",-22.49,-58.38,"spn","language","leng1261","","false","Lengua-Mascoy",,"1","1",,,"1",,"1",,
"itel1242","West Itelmen","Eurasia",56.046173,156.30704,"itl","language","chuk1271","","false","Chukotko-Kamchatkan",,,"1",,,,,,,"1"
"chuk1273","Chukchi","Eurasia",68.6436,170.045,"ckt","language","chuk1271","","false","Chukotko-Kamchatkan","1","1","1",,,,,,,
"jama1261","Madi","South America",-7.62223,-66.5662,"jaa","language","araw1282","","false","Arawan","1","1","1",,,"1",,,,
